count.num,year,mdi.date,mdi.participants,mdi.hours,sch.date,sch.participants,sch.hours,mean.participants,mean.hours,sum.participants,sum.hours
121,2021,12/19/20,16,69.35,1/1/21,28,44.95,22,57.15,44,114.3
120,2020,12/14/19,17,31.78,1/1/20,27,57.15,22,44.465,44,88.93
119,2019,12/15/18,14,38.4,1/1/19,22,38.5,18,38.45,36,76.9
118,2018,12/16/17,12,40.49,1/1/18,18,40.75,15,40.62,30,81.24
117,2017,12/17/16,12,47,1/1/17,19,8.95,15.5,27.975,31,55.95
116,2016,12/19/15,13,63.5,1/1/16,19,49.85,16,56.675,32,113.35
115,2015,12/20/14,23,60.25,1/1/15,21,44.75,22,52.5,44,105
114,2014,12/14/13,24,46.1,1/1/14,17,39.25,20.5,42.675,41,85.35
113,2013,12/15/12,24,54,1/1/13,14,35,19,44.5,38,89
112,2012,12/17/11,26,49.6,1/1/12,19,42.25,22.5,45.925,45,91.85
111,2011,12/18/10,22,54.25,1/1/11,13,38,17.5,46.125,35,92.25
110,2010,12/19/09,22,42.75,12/31/09,13,28.5,17.5,35.625,35,71.25
109,2009,12/20/08,22,27,1/1/09,18,33,20,30,40,60
108,2008,12/15/07,31,46.75,1/3/08,10,25,20.5,35.875,41,71.75
107,2007,12/16/06,16,72.75,1/3/07,12,30.5,14,51.625,28,103.25
106,2006,12/17/05,6,25.5,1/1/06,19,25,12.5,25.25,25,50.5
105,2005,12/18/04,7,31.25,1/1/05,11,26.75,9,29,18,58
104,2004,12/20/03,7,45.25,1/1/04,11,49,9,47.125,18,94.25
103,2003,12/21/02,11,44.3,1/1/03,13,39,12,41.65,24,83.3
102,2002,,,,1/1/02,11,32,5.5,16,11,32
101,2001,12/23/00,10,35.5,1/1/01,13,22,11.5,28.75,23,57.5
100,2000,1/1/00,11,36.25,1/2/00,6,25.5,8.5,30.875,17,61.75
99,1999,12/19/98,12,52.75,1/1/99,8,28,10,40.375,20,80.75
98,1998,12/20/97,28,74,1/1/98,6,27,17,50.5,34,101
97,1997,12/21/96,21,77.25,1/1/97,11,30,16,53.625,32,107.25
96,1996,12/16/95,24,43,12/31/95,9,28,16.5,35.5,33,71
95,1995,12/27/94,20,39,12/31/94,8,26,14,32.5,28,65
94,1994,12/18/93,18,54,1/1/94,8,36,13,45,26,90
93,1993,12/19/92,19,60,1/1/93,10,40,14.5,50,29,100
92,1992,12/14/91,21,62,1/1/92,11,32,16,47,32,94
91,1991,12/15/90,22,54.5,12/31/90,9,27.5,15.5,41,31,82
90,1990,12/16/89,16,28,1/1/90,6,32,11,30,22,60
89,1989,12/17/88,24,58,1/1/89,11,35,17.5,46.5,35,93
88,1988,12/19/87,23,51,1/1/88,9,22,16,36.5,32,73
87,1987,12/20/86,29,69,12/28/86,17,37.5,23,53.25,46,106.5
86,1986,12/21/85,49,52,12/29/85,9,21,29,36.5,58,73
85,1985,12/15/84,55,60,12/30/84,12,22,33.5,41,67,82
84,1984,12/17/83,60,100,1/1/84,12,45.5,36,72.75,72,145.5
83,1983,12/18/82,46,93,1/1/83,12,30.8,29,61.9,58,123.8
82,1982,12/19/81,68,136.5,1/1/82,8,24,38,80.25,76,160.5
81,1981,12/20/80,49,117,1/1/81,9,31,29,74,58,148
80,1980,12/15/79,49,121,12/30/79,7,25.5,28,73.25,56,146.5
79,1979,12/16/78,53,122,12/30/78,7,24,30,73,60,146
78,1978,12/17/77,58,123,12/18/77,8,20,33,71.5,66,143
77,1977,12/18/76,57,128.5,1/1/77,7,20,32,74.25,64,148.5
76,1976,12/27/75,31,59,12/28/75,4,15,17.5,37,35,74
75,1975,12/28/74,67,81,12/15/74,10,18,38.5,49.5,77,99
74,1974,12/15/73,26,68,12/16/73,8,22,17,45,34,90
73,1973,12/30/72,32,87,1/1/73,10,20,21,53.5,42,107
72,1972,12/18/71,16,59,1/1/72,4,15,10,37,20,74
71,1971,1/2/71,23,40,1/1/71,4,22,13.5,31,27,62