Family,Number of species,% decrease,% increase,% no change,% not enough data
Other,30,23.33,20.00,33.33,23.33
"Anatidae (Ducks, Geese, and Waterfowl)",28,25.00,25.00,28.57,21.43
Passerellidae (New World Sparrows),13,38.46,0.00,38.46,23.08
"Accipitridae (Hawks, Eagles, and Kites)",9,0.00,33.33,44.44,22.22
"Fringillidae (Finches, Euphonias, and Allies)",9,11.11,33.33,55.56,0.00
"Laridae (Gulls, Terns, and Skimmers)",9,22.22,11.11,55.56,11.11
Picidae (Woodpeckers),9,22.22,33.33,22.22,22.22
Icteridae (Troupials and Allies),6,83.33,0.00,0.00,16.67
Parulidae (New World Warblers),6,0.00,0.00,33.33,66.67
Strigidae (Owls),6,0.00,16.67,33.33,50.00
"Alcidae (Auks, Murres, and Puffins)",5,20.00,40.00,20.00,20.00
Turdidae (Thrushes and Allies),5,0.00,0.00,40.00,60.00
"Corvidae (Crows, Jays, and Magpies)",4,75.00,25.00,0.00,0.00
"Phasianidae (Pheasants, Grouse, and Allies)",4,50.00,25.00,25.00,0.00
Scolopacidae (Sandpipers and Allies),4,25.00,0.00,25.00,50.00
Falconidae (Falcons and Caracaras),3,0.00,33.33,33.33,33.33
Gaviidae (Loons),3,0.00,66.67,33.33,0.00
Mimidae (Mockingbirds and Thrashers),3,66.67,0.00,33.33,0.00
"Paridae (Tits, Chickadees, and Titmice)",3,66.67,33.33,0.00,0.00
Podicipedidae (Grebes),3,66.67,33.33,0.00,0.00